time,x,y,v,v_d,a,v_des,a_des,throttle,brake,steer
1545754613.646599,1131.23,1183.27,2.9001692835061947e-07,-4.872060798219355e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.667162,1131.23,1183.27,2.843364802834858e-07,-4.2693291438173727e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.686618,1131.23,1183.27,2.803917246813096e-07,-3.711373611062231e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.706654,1131.23,1183.27,2.803917246813096e-07,-3.2419655589056017e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.726645,1131.23,1183.27,3.3441677504775805e-07,1.8024942109658283e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.746618,1131.23,1183.27,4.169550464409431e-07,4.632748384489664e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.766669,1131.23,1183.27,4.169550464409431e-07,6.979120769886679e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.786618,1131.23,1183.27,4.169550464409431e-07,8.950382864233167e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.806602,1131.23,1183.27,3.6653984307465495e-07,5.547457294224171e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.826591,1131.23,1183.27,3.3152928518139926e-07,3.295994702107695e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.846651,1131.23,1183.27,3.3152928518139926e-07,1.4244754420102863e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.866609,1131.23,1183.27,3.0715453362841615e-07,2.6183473642830653e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.886656,1131.23,1183.27,3.0715453362841615e-07,-7.02928120268896e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.906608,1131.23,1183.27,3.0715453362841615e-07,-1.5112779674940489e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.926656,1131.23,1183.27,2.9792167319168016e-07,-2.0269649031673458e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.946633,1131.23,1183.27,2.938481064711112e-07,-1.843616123193809e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.966619,1131.23,1183.27,2.9101924069293835e-07,-1.643576296598206e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.986625,1131.23,1183.27,2.9101924069293835e-07,-1.4767690978418606e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.006601,1131.23,1183.27,2.9101924069293835e-07,-1.3379229140383046e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.026736,1131.23,1183.27,2.9478935644767264e-07,-1.0292019730090255e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.04661,1131.23,1183.27,2.9478935644767264e-07,-7.708093420266932e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.066606,1131.23,1183.27,2.895350710663939e-07,-1.0802874034716318e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.086596,1131.23,1183.27,2.8515649991532826e-07,-1.265303560213748e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.106619,1131.23,1183.27,2.815076906227736e-07,-1.3581397840794205e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.126677,1131.23,1183.27,2.815076906227736e-07,-1.4349690048793546e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.146636,1131.23,1183.27,2.7429315463025944e-07,-1.4696471244216725e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.166609,1131.23,1183.27,2.7429315463025944e-07,-1.4983526964565906e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.186623,1131.23,1183.27,2.7429315463025944e-07,-1.5217133150493506e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.206599,1131.23,1183.27,2.692830601910135e-07,-1.4580996838811637e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.226621,1131.23,1183.27,2.7502682815042604e-07,-9.977542445372956e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.246599,1131.23,1183.27,2.772024978320217e-07,-6.499568293510213e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.266607,1131.23,1183.27,2.772024978320217e-07,-3.60398167130868e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.286606,1131.23,1183.27,2.85188061466904e-07,2.166377798058229e-10,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.30661,1131.23,1183.27,2.85188061466904e-07,3.042277865969236e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.327651,1131.23,1183.27,2.85188061466904e-07,5.4104244852780705e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.346601,1131.23,1183.27,2.907335917689056e-07,6.725659384198493e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.366603,1131.23,1183.27,2.8502716720967226e-07,4.2984236065409173e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.386614,1131.23,1183.27,2.8502716720967226e-07,2.276334102264335e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.406653,1131.23,1183.27,2.837207513307269e-07,8.103754756821857e-09,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.426608,1131.23,1183.27,2.901703132342724e-07,6.062025300977107e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.446636,1131.23,1183.27,2.9554494815389367e-07,9.524316256523804e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.466623,1131.23,1183.27,2.9554494815389367e-07,1.24186819597036e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.486639,1131.23,1183.27,3.000238105869114e-07,1.4078311862273312e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.50661,1131.23,1183.27,3.0618035662757743e-07,1.4067350325880436e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.526621,1131.23,1183.27,3.1045573582248437e-07,1.334134844729583e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.546633,1131.23,1183.27,3.1045573582248437e-07,1.2736289032143113e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.566593,1131.23,1183.27,3.1515892426273695e-07,1.454076669042759e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.586591,1131.23,1183.27,3.2234435104645623e-07,1.4839320332418796e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.606685,1131.23,1183.27,3.2234435104645623e-07,1.5075131527524513e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.626694,1131.23,1183.27,3.2234435104645623e-07,1.5283132386320067e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.646944,1131.23,1183.27,3.163743087831502e-07,1.050249132316663e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.666618,1131.23,1183.27,3.1222844610029877e-07,7.155656946083315e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.686657,1131.23,1183.27,3.1222844610029877e-07,4.395688981086314e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.706612,1131.23,1183.27,3.079795885075823e-07,1.144030563030228e-09,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.726632,1131.23,1183.27,3.0148827829648767e-07,-2.3610363796486618e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.7466,1131.23,1183.27,3.0148827829648767e-07,-4.430325729728975e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.766645,1131.23,1183.27,3.0148827829648767e-07,-6.145242641725107e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.78664,1131.23,1183.27,3.557348713147831e-07,1.543208122421663e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.806647,1131.23,1183.27,3.9340611646637715e-07,2.712439101308758e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.82666,1131.23,1183.27,3.9340611646637715e-07,3.686390406969579e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.846605,1131.23,1183.27,3.88145504761981e-07,2.6324020040110266e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.866617,1131.23,1183.27,3.837616616749842e-07,1.828565349575306e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.886633,1131.23,1183.27,3.801084591024868e-07,1.2196135781094147e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.906643,1131.23,1183.27,3.801084591024868e-07,7.120631578882586e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.926599,1131.23,1183.27,3.739478073456159e-07,3.5951473571165246e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.946645,1131.23,1183.27,3.696695769588999e-07,1.379132665127497e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.966607,1131.23,1183.27,3.696695769588999e-07,-4.7434359649380885e-09,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754614.986698,1131.23,1183.27,3.815150497004166e-07,9.431319122421845e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.0066,1131.23,1183.27,3.9961229972217827e-07,1.474820969507592e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.026621,1131.23,1183.27,3.9961229972217827e-07,1.9137935006009641e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.046686,1131.23,1183.27,4.085143371818152e-07,2.3342674500521438e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.066601,1131.23,1183.27,4.2211467218959384e-07,2.462583173144172e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.08662,1131.23,1183.27,4.2211467218959384e-07,2.5668265087123286e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.106642,1131.23,1183.27,4.2211467218959384e-07,2.6536224109198007e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.126609,1131.23,1183.27,3.977310445473282e-07,1.7603281830392842e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.146595,1131.23,1183.27,3.6047828009386683e-07,-1.2653900619299552e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.166592,1131.23,1183.27,3.463673844675557e-07,-2.23058307006118e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.186598,1131.23,1183.27,3.583831734936297e-07,-8.578127743403526e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.206595,1131.23,1183.27,3.6839633101535805e-07,1.197159442429043e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.226643,1131.23,1183.27,3.6839633101535805e-07,9.32189369187913e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.246644,1131.23,1183.27,3.767406289501317e-07,1.4721501429570448e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.266609,1131.23,1183.27,3.592861639789248e-07,5.644765522942946e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.286641,1131.23,1183.27,3.592861639789248e-07,-1.8970303183990933e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.306599,1131.23,1183.27,3.52674624217104e-07,-7.102064282806401e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.326574,1131.23,1183.27,3.710473742974333e-07,1.4008308876367895e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.346578,1131.23,1183.27,4.0753432319099535e-07,2.549178227232048e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.366619,1131.23,1183.27,4.0753432319099535e-07,3.503553470517383e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.386641,1131.23,1183.27,4.0753432319099535e-07,4.300196501445566e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.406619,1131.23,1183.27,3.713324553084134e-07,2.2107073275203586e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.426614,1131.23,1183.27,3.461922692788427e-07,8.89736970854779e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.44659,1131.23,1183.27,3.461922692788427e-07,-2.119811486398117e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.466626,1131.23,1183.27,3.339264321645297e-07,-6.404316085787937e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.486594,1131.23,1183.27,3.339264321645297e-07,-9.99051859474108e-08,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.506661,1131.23,1183.27,3.339264321645297e-07,-1.2956075359728942e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.526685,1131.23,1183.27,3.2928028174244143e-07,-1.4663869083279597e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
